Index,IPA
4032,"<>, thɪk ɐche?"
4033,t̪ɐ o ɐbɐɾ ogo ɔ͡ɪ̯hene kɪdɐ ɐche t̪ɐɾ d̪ɦɐɾe pɐlɐ͡ɪ̯che bole।
4034,"nɐ, o͡ɪ̯ ɟe ʃɪbu, ʃɪbu bɐbuɾ chɐ͡o̯wɐjleɾ d̪ɦɐɾe d̪eche।"
4035,"o kɔ͡ɪ̯je d̪eche, o͡ɪ̯hettune d̪ebene।"
4036,kɔ͡ɪ̯lke d̪ebene t̪ɐ͡ɪ̯ ko͡ɪ̯che।
4037,nɐ͡ɪ̯neɾ bo͡u̯ɾ kɔe̯ mɐʃ ho͡ɪ̯che?
4038,"e͡ɪ̯ɟe, ɐt mɐʃ।"
4039,"o, t̪o͡ɪ̯lɪ t̪o kɐchɐe̯ ɐ͡ɪ̯che।"
4040,dɛt-ted d̪eche nɐkɪ?
4041,"d̪echeɾe, bɦɐd̪d̪ɔɾ mɐʃe।"
4042,"o, mɐne"
4043,e kɪ hɔʃɪtɐle nɪje ɟɐbene nɪkɪ?
4044,"oɾe bɐbɐ, <>।"
4045,chele hɔbe nɐ mɐne hɔbe?
4046,t̪ɐ kocche d̪ɐkt̪ɐɾ d̪ɛhɐt̪ɪ ɐʃphɐ।
4047,"ɐmɪ ɪ t̪ɔe̯ ɐe̯, d̪ɛhɐmd̪ɪ d̪ɐkt̪ɐɾ।"
4048,kɔcche puɾɐɾo d̪ɪn puɾɐɾo d̪ɪnɪɾ mod̪d̪ɪ gɦu͡ɪ̯ɾe ɐʃphɐ।
4049,pɾɐɾo d̪ɪnɪ d̪ɐkt̪ɐɾ d̪ɪhɐt̪ɪ d̪ɪhɐnɪ ɔe̯?d̪ɪd̪e d̪ɪnde t̪ɪnde mɐʃ t̪hɐhɐ lɐgbe।
4050,"ɪjɪjɐe̯ d̪ɐkt̪ɐɾ d̪ɪhɐt̪ɪ ɟɐbe, t̪ɐ͡ɪ̯?"
4051,eɟɐe̯ oʃɔb kɔe̯ nɐ ɐgeɾt̪e।
4052,ɐmɐge e͡ɪ̯hene t̪o ɐltɐ͡ɪ̯ʃo ko͡ɪ̯ɾe d̪ehɐ ɟɐe̯ ɟe chele hɔbe nɐ mɐne hɔbe?
4053,"e͡ɪ̯hene kɔe̯ nɐ, kolɪ e͡ɪ̯ ɟe mono khɐɾɐp ho͡ɪ̯je ɟɐbe ne, kɔe̯ nɐ।"
4054,kɔ͡o̯wɐɾ t̪ɪm nɐ͡ɪ̯।
4055,<> kɔt̪ɪ bɐɾɐt̪।
4056,"kɔlɪ d̪ehɐ gelo, keɾo chele d̪ɔɾkɐɾ, ɟod̪ɪ ɟɐnt̪ɪ pɐ͡ɪ̯je ɐ͡ɪ̯che, tɛk͡o̯ t̪o koɾe kɔt̪odɐ, tɐɾtɪʃe।"
4057,o͡ɪ̯jɐnɪ kɔe̯ nɐ।
4058,"kɔt̪o bɐbɦɐbɐ t̪ɐɾpɔɾ ɾɐkht̪ɪ cɐe̯ nɐ, mɐ͡ɪ̯ɾɪ phɐle, be͡ɪ̯ce d̪ee̯, o͡ɪ̯nɪ kɔe̯ nɐ।"
4059,ɟɐmɪ͡ɪ̯ɾ ʃɐt̪he kɔt̪hɐ hɔe̯ bɪd̪ɪn?
4060,ko͡ɪ̯ ɟɐmɪ͡ɪ̯ɾ ʃɐt̪he kɔt̪hɐ hɔe̯ bɪd̪ɪn?
4061,ho <> d̪ɪn koɾe।
4062,ɐge d̪u͡ɪ̯mɐɾɐ koɾt̪o mone koɾ d̪u͡ɪ̯ bedɐ kɐɟe ɟɐe̯ be͡ɪ̯le
4063,"ɐɟke ɐbɐɾ ɟɐllɐ, d̪u͡ɪ̯ɟɔn chelo।"
4064,cɪnɐ-ɟɐn ɛkɟɔn e͡ɪ̯ ɟɐgɐɾɪ t̪ɐɾe ɐbɐɾ ɔnno ʃɐ͡ɪ̯dɪ pɐɽɐe̯ d̪eche।
4065,ehone tɛɾʃɔm hocche t̪oɾ mɐɟɪɾɐ <>।
4066,bɪd̪eɾ bɐɽɪ ʃɐnɪl-mɐlɪt thɪk hɔe̯ nɐ <>।
4067,ɛk ɟɐgɐɾɪ d̪u͡ɪ̯ɟɔn t̪hɐkɪ ɛktɐ bɦɐʃ pɾɪst।
4068,kɔ͡ɪ̯l ʃɔkɐe̯ phɔn ko͡ɪ̯ɾe kɔcche ɟe tɐɾɪʃ hocche।
4069,"t̪ɐɾ t̪o ʃɔb d̪ɽɪ-pɐɟɟɐmɪ, pɐɟɟɐmɪɾ lɔm o͡ɪ̯ ɟɐgɐgɐgɐ"
4070,"bɐ͡ɪ̯ɾeɾ ɟɔm t̪o, kɔpɐɾ।"
4071,"bɐbɐ, bɐ͡ɪ̯ɾ kɐɟe ɟɐ͡ɪ̯je ɟɐɾ ʃɪt bɦɐlo ʃe bɦɐlo kɐɟ pɐe̯।"
4072,"t̪ɐɾpɔɾe e͡ɪ̯ ɟe pɾot̪hom geche nɐ, e͡ɪ̯ɟonnoʃɪ kɔʃto।"
4073,"t̪omɐɾ ɟɐmɐ͡ɪ̯ t̪o mɪnʃɪ mɐnʃo, he͡ɪ̯lɐɾ kɐɟ pɐɾe nɐ।"
4074,"t̪ɐ͡o̯ t̪o pɐɽe ʃɔb kɪchu, ɛɟɔnnoʃɪ ʃɔmoʃʃɐ hɔe̯ nɐ।"
4075,"pɐɾe, ehon e͡ɪ̯ ɟe d̪ehɐ gelo phul kɐɟ ko͡ɪ̯ɾe͡o̯ beʃɪ pɐcche nɐ।"
4076,e͡ɪ̯ ɟɐgɐ kɔʃto nɐ?
4077,"bɔt̪o hɔe̯ t̪oʃɪ-cɔlɪʃ hɐɟɐɾ, ʃehe pɔ̃cɪʃ hɐɟɐɾ-bɐ͡ɪ̯ʃ hɐɟɐɾ beʃɪ d̪ee̯।"
4078,kɔɽɪ hɐɟɐɾ tɐhɐ pɐɽɐe̯ pɐɽɪ।
4079,t̪ɐ͡ɪ̯lɪ ʃe kɪ beʃɔt̪o?
4080,o t̪o e͡ɪ̯henɪ konokɐt̪ɐ <> bɪd̪eʃ <>।
4081,<> ɟɐ͡ɪ̯je।
4082,t̪ɐ ɟɐt̪ɪ kɪɾom khɔɾɔm ho͡ɪ̯chelo?
4083,nɔbʃo͡ɪ̯ hɐɟɐɾ khɔɾoʃ ho͡ɪ̯chelo।
4084,ɪt̪ɪlɪ-ʃɪlɪ dɦukɐ ɟɐe̯ nɐ?
4085,oʃɔb bɦɪʃɐ ɐlɐd̪ɐ।
4086,"ʃɐ t̪o buɟɦɪchɪ, ɪ͡o̯ɾpe t̪o bɦɪʃɐ ɐlɐd̪ɐ।"
4087,ʃɔb ɟɐgɐɾ bɦɪʃɐ lɐgɐ͡o̯।
4088,o͡ɪ̯ lɐgɪɾ ʃumɐ o͡ɪ̯ pɔɾɪkkhɐ pɐʃ ko͡ɪ̯ɾe ɟɐt̪ɪ hɔe̯।
4089,t̪umɪ ɟod̪ɪ pɐɾlɪ lɐgɐ͡o̯ ʃe ʃɔb tɐkɐ pɔjʃɐ <>।
4090,ʃe͡ɪ̯bɦɐbe d̪ɦɔɾt̪ɪ hɔe̯ ɛɟɪnd।
4091,"ɪjɐlɪ nɐ o͡ɪ̯ ɟe ɛbost̪ɪkɐlcɐɾ bɦɪʃɐ ɐche, sɾɪnɪɾ bɦɪʃɐ ɐche।"
4092,hɔe̯ kɔcche।
4093,"u͡u̯͡u̯, ɪ͡ɪ̯ndɪjɐe̯ dɐkt̪ɐɾ d̪ɪhɐt̪ɪ ɟɐbene t̪umɐɾ d̪ɪd̪ɪ।"
4094,bɛbɐʃet̪t̪e d̪ɦɐɽɐe̯ d̪ɦɐ͡ɪ̯ɾe dɐkt̪t̪t̪e dɐkt̪t̪t̪e dɐkt̪t̪ɐchɪ nɐ bɛŋke tɐkɐ bɦɐ͡ɪ̯ŋge dɐkt̪ɐɾ d̪ɛkhɐbe nɐ ʃe।
4095,o͡ɪ̯tɐ d̪ɪje t̪o ɐmɐge elɐkɐɾt̪e ɟɐcche।
4096,ɐmɐɾ bɦɐnd̪ɦo kɔjɟon ɟɐcche।
4097,ɛbost̪ɪkɐlcɐɾ bɦɪʃe ɟɐcche oɾɐ।
4098,kɪ ɟɐnɪ?
4099,ɐmɐge e͡ɪ̯hene oʃɔb bɦɪʃɐ!
4100,ɛkɪ bɔ͡ɪ̯ lɐgɐe̯ lɐgɐe̯ ɟɐe̯।
4101,kɔmmɪnɪɾt̪e ɟɐe̯।
4102,d̪ubɐ͡ɪ̯ chɐɽɐ oɾɔkom ɟɐe̯ nɐ।
4103,ɪjɪjɐn nɐd̪ɪɾ holɪ t̪o ɐɾɔ͡o̯ ʃɔbɪd̪ɦɐ beʃɪ ɟɐ͡o̯wɐ-ɐʃɐ।
4104,bɔ͡ɪ̯ lɐge gelɪ ʃubɪd̪ɦɐ nɐ?
4105,"konoʃtɪnɪɾt̪e t̪umɐɾe nɪje ɟɐbe, t̪umɐɾ <>।"
4106,ɐɾ ɛknɪ gelɪ ʃe͡ɪ̯ <>।
4107,pɐʃpɐɾ-mɐʃpɐɾ ʃɔb t̪ɐge hɐt̪e ɾɐ͡ɪ̯he d̪eche।
4108,ɐɾ bɐɽɪ ɐʃɐɾ d̪ɪn t̪umɐɾ hɐt̪e pɐʃpɐd d̪ebe।
4109,"t̪ɐge hɐt̪e ɾo͡ɪ̯che, ɐʃɐɾ d̪ɪn d̪ebe।"
4110,d̪u͡ɪ̯ bochoɾ bɔjoʃ hɔbe।
4111,ɐɾ eɾ mod̪d̪ɪ ɟod̪ɪ ɐʃo t̪ɐlɪ nɪɟɪɾ tɐkɐe̯ ɐʃt̪ɪ hɔbe।
4112,pɐ͡ɪ̯n khɔɾcɐ nɪɟɪɾ।
4113,ɐɾ d̪u͡ɪ̯ bochoɾ pɔɾe ɐʃlɪ t̪ɐge khɔɾt̪ɐ pɐɾbe।
4114,ɔ͡ɪ̯t̪o e͡ɪ̯de hɔcche ɛbost̪ɪkɐlcɐɾ bɦɪʃɐ।
4115,ɐɾ bɔɾonʃoɾ bɦɪʃɐe̯ tɐkɐ beʃɪ lɐge।
4116,ɟed̪ɪn ɟɐbɐ t̪ɐɾ pɔɾd̪ɪn phɪɾe ɐʃɐ ɟɐe̯।
4117,e phɪɾe ɐʃt̪ɪ ɐʃt̪ɪ ɟehedu nɪɟɪɾ tɐhɐ।
4118,o͡ɪ̯ t̪o o͡ɪ̯ mɐne kɔmmɪnɪɾ tɐkɐe̯ phɪɾe ɐʃɐ ɟɐe̯।
4119,o͡ɪ̯ sɛpɪnɐɾ bɦɪʃɐe̯ gelɪ।
4120,tɐkɐ ettu beʃɪ lɐge e͡ɪ̯ ɐɾ kɪ।
4121,nɐn ɐne kɪ ɛt̪t̪t̪ɪche mɐʃɪ?
4122,o͡ɪ̯ ɟe phɛneɾ d̪ukɐne t̪hɐje।
4123,d̪ukɐ-tukɐn d̪eche nɪɟɪ?
4124,nɐ nɪɟɪ d̪ɪt̪ɪ ɔnek tɐkɐ lɐgbe ɾe bɐbɐ।
4125,<> bɐɟɐɾe d̪ukɐn d̪ɪt̪ɪ gulɪ ɔnek tɐkɐɾ d̪ɔɾkɐɾ d̪ɔɾkɐɾ d̪ɔɾkɐɾ d̪ɔɾkɐɾ d̪ɔɾkɐɾ d̪ɔɾkɐɾ d̪ɔɾkɐɾ d̪ɔɾkɐɾ d̪ɔɾkɐɾ d̪ɔɾkɐɾ।
4126,d̪u͡ɪ̯ t̪ɪn lɐkh tɐhɐɾ
4127,o͡ɪ̯hettu kɪɾɔkom?
4128,ɪkkɐ-pɐt̪ɪ kɪɾom hɔe̯?
4129,"hɔe̯, ɟɐ hɔe̯ <> o͡ɪ̯ d̪ɪje ɐʃt̪e ɐʃt̪e।"
4130,ɟɐ hɔe̯ dɐkt̪ɐɾ-mɐkt̪ɐɾ d̪ehe <>।
4131,oʃud̪-pɐt̪ɪ ʃɔb t̪o oɾ tɐhɐ d̪ehe d̪ehe।
4132,t̪ɔe̯ t̪o bɦɐlo͡ɪ̯ kɔʃto hocche।
4133,"hɔe̯, nɪɟɪge kɪnɐ-kɐtɐ ɔɾe nɐ।"
4134,"dɐkt̪ɐɾ d̪ehɐt̪ɪ hɔe̯ bɪʃ mɐʃe, d̪u͡ɪ̯-t̪ɪn hɐɟɐɾ tɐhɐ khɔɾcɐ।"
4135,o͡ɪ̯de khɔɾcɐ ho͡ɪ̯je ɟɐe̯।
4136,"ʃɔbʃuɾ bɐɽɪɾ ʃɐt̪he mɪʃ ho͡ɪ̯che, thɪk thɪk bɦɐt̪e?"
4137,ho͡ɪ̯che।
4138,ɐʃe-ɟɐe̯।
4139,oɾɐ kɪ ɐllɐd̪ɐ gɦɔɾe t̪hɐhe nɪkɪ?
4140,ɛk gɦɔɾe t̪hɐh nɐkɪ ɐllɐ gɦɔɾe t̪hɐhɐ?
4141,ɐllɐd̪ɐ gɦɔɾe t̪hɐhe।
4142,kɪ ejɐɾbe bɛŋkeɾ tɐhɐ?
4143,o͡ɪ̯ bɛŋkeɾ tɐhɐ ɐmɐɾe kɔcche kɪ ɐmɐɾe kɪ pɐgole kɐmɽɐ͡ɪ̯che?
4144,ɐmɪ gɐch tɐkɐ bɦɐ͡ɪ̯ŋge dɐkt̪ɐɾ d̪ɪhɐbɐnɪ?
4145,ɐmɪ kocchɪ pɐgol chɐgol ɐche pɔt̪t̪ɪbɪt̪ɪ kɔt̪o!
4146,t̪ɐ t̪umɐɾe nɐ d̪ekhlɪ buɟɦɐ ɟɐe̯ nɐh।
4147,ɾɐnnɐ-bɐnnɐ ɛkʃɐt̪he hɔe̯ nɐ?
4148,ɾɐnnɐ-bɐnnɐ ɛkʃɐt̪ ɛmnɪ gɦɔɾ ɐllɐ।
4149,"o, t̪ɐ͡ɪ̯lɪ t̪o thɪk ɐche।"
4150,"nɐ, ɐlɐd̪ɐ t̪o ho͡ɪ̯ ne͡ɪ̯।"
4151,bɐɟɐ-bɦɐt koɾe ehon nɐkɪ?
4152,"koɾe, mɐɟɦe mɐɟɦe।"
4153,o͡ɪ̯ ɟe ɐɟke d̪u͡ɪ̯ʃo tɐhɐ d̪eche ʃɐ͡o̯nɾe ko͡ɪ̯ɾe ɐnt̪ɪ bɐɟɐɾ।
4154,ɐɾ ɟɐ lɐge <>।
4155,"mɐch ɐche, ʃɔbɟɪ ɐche <>।"
4156,ʃɔɾt̪t̪o t̪ɔjlɪ ettu d̪ɐɽɐt̪ɪ pɐɾlɪ ɐɾ ʃɔmoʃʃɐ hot̪o nɐ।
4157,<> bɦɐlo।
4158,"d̪ukɐndɐ d̪ɪt̪ɪ pɐɾlɪ, chotothɐ"
4159,<> d̪ɐge।
4160,odɐ o͡ɪ̯ɟe ehon <> pɐɾbene।
4161,ko͡ɪ̯chɪ pɔɽt̪ɪ mɐɟɦe mɐɟɦe ʃɔkɐɾe bɐ ɾɐt̪e <> ko͡ɪ̯chɪ।
4162,ɐmɪ thɪkɪ koɾbɐne।
4163,ʃumɐe̯ mɔt̪o kɔt̪t̪t̪ɪcho nɐ।
4164,ɔʃumɐe̯ ɟɐje koɾbɐne।
4165,t̪ɐ d̪ɐkt̪ɐɾ d̪ɛhɐche nɐ kɛn?
4166,oɾ kɪ kɪ?
4167,ʃund̪ɐɾ?
4168,ɐɾ kɪ o͡ɪ̯che?
4169,oɾe ɟod̪ɪ nɪjɐɾe ɟod̪ɪ cɛkɐp koɾɐe̯
4170,umm o͡ɪ̯ mɛʃɪn ɪ nɔʃto owɐbe।
4171,uɾɐɾ ɛt̪o ɾog।
4172,t̪ɐlɪ!
4173,pɐt̪hom ɔcche dɐjbeɾɪt buccho?
4174,hum pɔɾe ɔcche unɐɾ cɔŋge t̪e nɐlɪ o͡ɪ̯che।
4175,heɾɪ ɪttu guchɐe̯ nɪt̪ɪ hɔbe।
4176,"ɐcchɐ, t̪oe̯ mɐʃɪʃ"
4177,"mɐʃɪ, bɦɐlo ɐcho?"
4178,ɐchɪ bɦɐlo।
4179,ɐ͡ɪ̯ɟke pɾɐʃgɪ bɐɽɪ gechɪlɐm।
4180,"t̪ɐ bɔlo kɪ o͡ɪ̯ ʃɪb bɐbu mone hɔe̯ nebene, buɟɦɪchɪʃ?"
4181,kɔlo kɪ bɐbɐ?
4182,"ɔ͡ɪ̯t̪o, ɔ͡ɪ̯ ko͡u̯jɐɾ ɟɔnnoɪ phɛn d̪ɪchɪ t̪umɐɾe ɐmɪ।"
4183,bɐ͡ɪ̯che nɐkɪ t̪ɔɾe?
4184,"hum, ʃɪb bɐb bɦɐn d̪eche bɪkɐle belɐ ɐmɐɾe।"
4185,"ɔ͡ɪ̯t̪o, ɐmɪ mone hɔe̯ gulɪ, bɔɽɪ ɐmɐɾ mone hɔe̯ pɾɐʃ oɾ bɐbɐɾ kɐche dɦɐn d̪eche buɟɦɪchɪʃ?"
4186,koɾt̪t̪t̪ɪchɪ।
4187,ɐtɐ cɔle kɔt̪t̪t̪hɪ khɐ͡ɐ̯ mot tukɐle kono kɪchu͡ɪ̯ nɐ।
4188,"mɐŋɽo, ɐlu oʃɔb kɪchu͡ɪ̯ khɐ͡ɪ̯nɐ।"
4189,ʃɔbɟɐ-bɔbɟɪ ɛkt̪o ʃɐk-pɐt̪ɐ edɐ kɐ̃̃c kolɐ-mɔlɐ d̪ɪje ettu khɐchɪ।
4190,d̪ud̪ khɐ͡ɪ̯।
4191,e͡ɪ̯ ebɦɐbe t̪o colt̪ɪchɪ ɾe bɐbɐ।
4192,ɛkhon mɐne ɐmɐɾ nɔɾmɐɾ।
4193,mɐne ʃund̪ɔɾ chɪlo nɔɾmɐɾ।
4194,ettu bɐɽɐe̯ nɪchɪ।
4195,"ɐmɐɾ bɔɽod̪ɪ ɪttu ʃuhost̪ho ho͡ɪ̯che, boɟɦcho?"
4196,"t̪umɐɾ bɔɽod̪ɪ ɪttu ʃuhost̪ho ho͡ɪ̯che, ɐmɪ kɔcchɪ dɐkt̪ɐɾ d̪ehɐbɐ nɐ?"
4197,"kɔcche nɐh, ɐɾ dɐkt̪ɐɾ d̪ehɐbo nɐ ɐmɪ kocchɪ kɛ?"
4198,"ɾogo hɔlɪ cɪkɪnd̪ɦɐ t̪o hɔɾɪ hɔbe, tɐkɐ lɐgɪ"
4199,ɐbɐɾ ʃe͡ɪ̯ e͡ɪ̯ ɟe d̪u͡ɪ̯ pɔd̪eɾ tɛʃ।
4200,o͡ɪ̯ ʃund̪ɐɾ phɪɾɪ tɛʃ bɪʃtɪ ɐ͡ɪ̯ne ɾɐkhchɪ।
4201,t̪ɐɾphɔɾe kɔjdɐ bɐd̪ɪ muɾgɪ kɪne ɾɐkhɪchɪ।
4202,d̪ud̪ khɐ͡ɪ̯ ettu।
4203,t̪ɐɾphɔɾe t̪oɾ ʃɐg-ʃɔbɟɐ e͡ɪ̯bɦɐbe d̪ɪje bɦɔɾo bɦɔɾo।
4204,ʃɔkɐe̯ ɐmɪ
4205,d̪eɽtɐɾ beʃɪ ɾutɪ khɐ͡ɪ̯ nɐ।
4206,"d̪ed̪ɦɐɾ t̪e d̪u͡ɪ̯tɪ ɾutɪ khɐ͡ɪ̯, khɐ͡ɪ̯nɐ।"
4207,ɐbɐɾ ettu beʃɪ khɐ͡ɪ̯।
4208,t̪ɐphɔɾe ɔcche d̪uphɐɾɪ kɔdɐ bɦɐt̪ khɐ͡ɪ̯।
4209,phɪɾe ettu bɪʃɪkt khɐ͡ɪ̯।
4210,e o͡ɪ̯ d̪e ɾɐt̪t̪ɪɾ d̪udɦo ɾutɪ khet̪e bɪɽɪche।
4211,ebɦɐbe d̪ɪje khɐ͡ɪ̯।
4212,e͡o̯n t̪ɔl moʃlɐ kɔmɐe̯ d̪ɪchɪ।<> e ɐm ɛt̪o ɐm ɛt̪o ɐm ɛt̪o ɐm ɛt̪o ɐm ɛktɐ ɐm o chu͡ɪ̯je d̪ɪchɪ।<> e ɐm ɛt̪o ɐm ɛt̪o ɐm ɛt̪o ɐm ɛt̪o ɐm ɛt̪
4213,bɪʃtɪɾ pɔɾe t̪o ɐnt̪olɪ͡o̯ mɛg।
4214,t̪ɐ t̪o ɐmɐɾ bɐ͡ɪ̯ɽe geche cɪnt̪ɐ cɪnt̪ɐe̯ bɦɐlo thɛkt̪ɪche nɐ।
4215,ɐmɐge bɔɾɔŋt̪ɔt̪o o͡ɪ̯je geche buɟɦɪchɪɾ?
4216,"umm, t̪umɐɾ kɔt̪hɐ bɦɐlo buɟɦɐ ɟɐcche nɐ mɐʃɪ।"
4217,ʃɔbɐ͡ɪ̯ t̪o ʃumɐn।
4218,kɔcchɪ kɪ kɔt̪hɐ bɦɐlo buɟɦɐ ɟɐʃʃe nɐ।
4219,<> kɔt̪hɐ buɟɦɐ ɟɐcche nɐ kon ʃumɐt̪e kɔcchɪ।
4220,"t̪ɐ ʃono, t̪umɐɾ e͡ɪ̯ d̪ɪd̪ɪɾe kɔcchɪ।"
4221,t̪ɐ dɐkt̪ɐɾ d̪ɪhɐbɐ nɐ?
4222,t̪ɐ kɔcche ɐmɐɾe ʃod̪ɪ e͡ɪ̯ɾe ɐ͡ɪ̯ne d̪e d̪ɔʃ hɐɟɐɾ tɐhɐ।
4223,t̪ɐ ɐmɪ kocchɪ ɟe ʃod̪ɪ e͡ɪ̯ɾe ɐ͡ɪ̯ne d̪ebo।
4224,t̪umɐɾ bɛŋke d̪e tɐhɐ ɾo͡ɪ̯che।
4225,t̪ɐ kɔcche kɪ ɐmɐɾe kɪ pɐgole mɐɟɐ͡ɪ̯che ne͡ɪ̯ bɛŋkeɾ tɐhɐ bɦɐ͡ɪ̯ŋge dɐkt̪ɐɾ d̪ɪhɐbɐnɪ?
4226,nɐ o͡ɪ̯ bɛŋkeɾ tɐhɐ bɦɐ͡ɪ̯ŋge cɪgɪʃʃɐ ot̪ɪ ɔbe nɐ।
4227,kɔbe bɪchɐe̯ phɔ͡ɪ̯ɾe t̪hɐkpe buɟɦ d̪ɪbɪnɐ।
4228,t̪hɐk kɔt̪o ɟɐt̪ ɐche।
4229,"ɐɾ cɔjoʃ, cɔjoʃ ɾutɪ ko͡ɪ̯ɾe d̪ɛe̯।"
4230,<> kɔcche mɐʃɪ ettu pɔɾe d̪uʃɐ ʃɔt̪o ko͡ɪ̯ɾe gɔɾu bɐchuɾ uthɔbo ɾutɪ t̪ɐ ɐmɪ kocchɪ kɛ t̪oɾ mɐ phɐɾenɐ?
4231,t̪ɐ kɔcche nɐ।
4232,t̪ɐ ɐmɪ kocchɪ gɔɾu bɪkɪ ko͡ɪ̯ɾe d̪ɪje nɪpɐɾ kɐche ɟɐe̯ ɛk mɐʃ t̪hɐkpe ɾupɐɾ kɐche ɟɐe̯ ɛkʃɔmɐ t̪hɐkpe।
4233,t̪oɾ mɐɾ e͡ɪ̯bɦɐbe ʃumɐe̯
4234,bɦɐbt̪ɪchɪlɐm kɪ?
4235,bɐɟɐ kɪ nɐ bɐɟɐ?
4236,t̪umɪ kɪ?
4237,"ne͡o̯, ɟɐ͡ɪ̯ hok, d̪u͡ɪ̯bɐɾ t̪o ɟɐ͡ɪ̯je bo͡ɪ̯le ɐʃlɐm।"
4238,oɾ mɐ bɐ͡ɪ̯chɪlo ɟe <>।
4239,bɪɽɪche।
4240,t̪ɐ kɔcche ɟe eɾɔkom ɟe kɐl ɐɽɐ͡ɪ̯ hɐɟɐɾ tɐkɐ nɪje ɐ͡ɪ̯ʃo।
4241,ʃumɐe̯ kɐ͡ɪ̯te ɟɐbe।
4242,kɔcche ɐmɐɾ mɐ bɔt̪t̪ɐmɐne o͡ɪ̯ ʃɔb phɔchɔd̪ ot̪t̪t̪t̪t̪t̪t̪t̪t̪t̪t̪t̪t̪t̪t̪t̪t̪t̪t̪t̪t̪t̪t̪t̪t̪t̪t̪t̪t̪t̪t̪t̪t̪t̪t̪t̪t̪t̪t̪t̪t̪t̪t̪t̪t
4243,ɐɾ ʃe cɐɾɪ cɐɾɪ e͡ɪ̯ɾe khɐe̯।
4244,<> d̪ɦɐɽɐe̯ d̪ɪ ɐʃlɪ e ɔcche
4245,bɪʃɐl pɐ̃ɟɪ।
4246,ɐbɐɾ mɐne mɔɾbɐ nɐ buɟbɐ।
4247,"umm, mɐne dɐjbeʃɪtɪ hɔlɪ eʃɔb bɐɽe।"
4248,cɐɾɪ e͡ɪ̯ɾe khɐlɪ mone koɾo t̪umɐɾ bɦɔt̪ɪ।
4249,"cɐɾɪ e͡ɪ̯ɾe khɐbɐ t̪umɐɾ bɦɔt̪ɪ, buɟɦɪcho?"
4250,ɐɾ khɐbɐ nɐ t̪umɐɾ bɦɐlo।
4251,mɐʃɪ t̪umɪ e͡ɪ̯ phɪlɪ khɐbɐɾo khɐje nɐ।
4252,e͡ɪ̯ t̪oɾ ɟɐmɐ͡ɪ̯ e͡ɪ̯ ɟe cɪllɐ phɐllɐ ot̪t̪t̪ɪche khɐ͡ɪ̯jɐɾ ɟonno।
4253,ɐmɪ kɔcchɪ t̪umɪ t̪hɐm d̪ɪ।
4254,khɐbo nɐ t̪o khɐbo nɐ।
4255,mɪʃtɪ nɐ khɐlɪ kɪ o͡ɪ̯che?
4256,"khɐbɐɾ o khɐbɐɾ, e d̪ɦɐɾe ʃɐnd̪ɪn mɐne o͡ɪ̯ ɟe ʃe lukɪʃ t̪ɐ͡ɪ̯ ɾɐnnɐ ko͡ɪ̯ɾe ɐmɪ khɐ͡ɪ̯ nɐ।"
4257,luduchɪ͡o̯ bɐɽe।
4258,ɐne kɔt̪ɔd̪ɪn pɐɾbɐnɪ ɟɐnɪ nɐ bɐph।
4259,ɛkhono t̪o muk bɔɾd̪ɦɐn pɐɾɪ।
4260,pɐt̪t̪t̪t̪hɪ ɐne kɪ e͡ɪ̯ɾbo eɾ pɔɾe ɟɐnɪ nɐ।
4261,ɐɾ oɾ bɔɾ ʃɔmɔɾ o͡ɪ̯je geche t̪o।
4262,ʃedɐ͡ɪ̯।
4263,t̪oɾ mɐɾ pɾɪt thɪk ɐche nɐ?
4264,mɐɾ t̪o dɐjbeʃɪʃ nɐ͡ɪ̯।
4265,nɐ t̪oɾ mɐɾ dɐ nɐ͡ɪ̯।
4266,t̪oɾ ʃe͡ɪ̯ɟe mɐʃɪ t̪o ɪdɐ kobɪt̪ɐɾ ɔcche t̪hɐ͡ɪ̯ɾd।
4267,o ɐmɐɾ bɔɽod̪ɪɾ mɔt̪o
4268,ɟɔbd̪eɾ mono khɐɾɐp oɾ।
4269,ɪ ɟe͡ɪ̯te kɪnɪche ʃe͡ɪ̯tɐ ɟɔbd̪eɾ khɐ͡ɪ̯je pho͡ɪ̯le ɟɐʃʃe d̪ɪn d̪ɪn।
4270,ettu ɐge kɔt̪hɐ o͡ɪ̯chelo।
4271,t̪ɐ kɔcche mɐch mɐʃo bole khɐe̯ nɐ।
4272,khɐe̯ nɐ!
4273,oɾe ettu muk bɔɾd̪ɦɐn ot̪t̪t̪t̪t̪t̪t̪t̪t̪t̪t̪t̪ɐɾ ot̪t̪t̪t̪t̪t̪t̪t̪t̪t̪t̪t̪t̪t̪t̪t̪t̪t̪t̪t̪ɐ
4274,phɐɾenɐ।
4275,gulɐɾ t̪ɐle t̪hɐje।
4276,gulɐɾ ʃɔmɔe̯ phɐlɪ ɐɾ ʃɔɾʃo nɪje oɾ।
4277,ɐmɪ bɐ͡ɪ̯chɪ d̪ɛkh t̪u͡ɪ̯ e͡ɪ̯bɦɐbe khɐje khɐje t̪u͡ɪ̯ kɪnt̪u ʃɔɾe ɟɐbɪ nɪ।
4278,d̪eh t̪hɐkɪ ɾogo ɐche ʃɔbɐ͡ɪ̯ɾ ɪ।
